Heading,Address,Zipcode,Category
Getgo #3642,,15108.0,Convenience Store
Getgo #3691,,15044.0,Convenience Store
Getgo Elizabeth #3005,,15037.0,Convenience Store
Glassmere Fuel Service #205,,15084.0,Convenience Store
Good News,,15222.0,Convenience Store
Greyhound Frankstown Sunoco A Plus,,15206.0,Convenience Store
Gulf Gas Station - Bridgeville,,15017.0,Convenience Store
Hampton Sunoco,,15101.0,Convenience Store
Hanini Market,,15212.0,Convenience Store
Hanini Market,,15112.0,Convenience Store
Hanini Market/ Hanini Subs,,15221.0,Convenience Store
Happy Minimart,,15108.0,Convenience Store
Happy Minimart,,15137.0,Convenience Store
Harvest Valley Farms,,15044.0,Convenience Store
Harv's Shell Station,,15212.0,Convenience Store
Homewood's Quik Pick,,15208.0,Convenience Store
Honey Bear/Spee-D Mart #223,,15221.0,Convenience Store
In & Out Market,,15136.0,Convenience Store
Indian Grocery Oakland,,15213.0,Convenience Store
J & K Plus Store #102,,15221.0,Convenience Store
J & S Food Mart,,15110.0,Convenience Store
J J's Deli Mart,,15132.0,Convenience Store
J&M Dariette,,15025.0,Convenience Store
Jack's Market & Coffee Shop,,15120.0,Convenience Store
Jade 99 Asian Supermaket,,15222.0,Convenience Store
Jessie's Westside Market,,15204.0,Convenience Store
J-N-J Convenience Store,,15219.0,Convenience Store
Joes Butcher Shop,,15140.0,Convenience Store
K-2 Convenience Store,,15224.0,Convenience Store
Ken's Grocery,,15210.0,Convenience Store
Kiev International Food,,15217.0,Convenience Store
Kubaa Oriental Grocery,,15212.0,Convenience Store
Kudla's Service Center,,15102.0,Convenience Store
Kwik Fill #239 S0001,,15046.0,Convenience Store
Kwik Fill S0171,,15139.0,Convenience Store
L A Grocery,,15206.0,Convenience Store
L E Corner Store,,15206.0,Convenience Store
Labad's Mediterranean Cafe & Grocery,,15222.0,Convenience Store
Labriola Italian World,,15215.0,Convenience Store
Last Minit Mart in Blawnox,,15238.0,Convenience Store
Lebanon Shops Pharmacy,,15234.0,Convenience Store
Le's Super Grocery Kart,,15206.0,Convenience Store
Liberty News,,15222.0,Convenience Store
Linea Verde - Green Market,,15224.0,Convenience Store
Los Campos,,15090.0,Convenience Store
Lovedale Valero,,15037.0,Convenience Store
Lucky Bucks,,15211.0,Convenience Store
Marathon Imperial Tri-State Petroleum #213,,15071.0,Convenience Store
Marathon Tri-State Petroleum #201,,15220.0,Convenience Store
Marathon Tri-State Petroleum #203,,15106.0,Convenience Store
Marathon Tri-State Petroleum #219,,15213.0,Convenience Store
Marathon Tri-State Petroleum #221,,15084.0,Convenience Store
Marathon Tri-State Petroleum #222,,15238.0,Convenience Store
Marathon Tri-State Petroleum #223,,15235.0,Convenience Store
Marathon Tri-State Petroleum #224,,15224.0,Convenience Store
Market on Middle,,15116.0,Convenience Store
Marshall's Exxon,,15212.0,Convenience Store
Mascari's Duncan Manor Exxon / Staks,,15101.0,Convenience Store
Mash Mini Mart,,15146.0,Convenience Store
Mauro's Exxon,,15235.0,Convenience Store
McKees Rocks Sunoco A Plus,,15204.0,Convenience Store
Meme's Market,,15212.0,Convenience Store
Mike's Spot,,15235.0,Convenience Store
Mini-Mitch Quick Stop,,15219.0,Convenience Store
Morningside Market,,15206.0,Convenience Store
Mr C's Convenience Store,,15229.0,Convenience Store
Natoli's Market,,15044.0,Convenience Store
Nelson Community Store,,15210.0,Convenience Store
New Young's Oriental Grocery,,15217.0,Convenience Store
Oakhill Convenient Store,,15213.0,Convenience Store
OM Enterprise,,15226.0,Convenience Store
On the Go Market,,15216.0,Convenience Store
One Stop,,15213.0,Convenience Store
Optima #1386,,15137.0,Convenience Store
P & W Mini Mart,,15037.0,Convenience Store
Parkway Service B P,,15220.0,Convenience Store
ParMar Store #56,,15237.0,Convenience Store
Penn Hills Sunoco,,15235.0,Convenience Store
Penn Sunoco,,15224.0,Convenience Store
People's Grocery,,15224.0,Convenience Store
Perriello Produce,,15084.0,Convenience Store
Pirollo's Delicatessen,,15147.0,Convenience Store
Pitcairn Sunoco,,15140.0,Convenience Store
Plum Convenience,,15239.0,Convenience Store
Plum Sunoco,,15239.0,Convenience Store
PNC C Store,,15222.0,Convenience Store
PNK Store,,15212.0,Convenience Store
Podmilsak's Market,,15024.0,Convenience Store
Popeye's Mini Mart,,15084.0,Convenience Store
Presto Qwik Stop,,15142.0,Convenience Store
Prestogeorge Fine Foods,,15222.0,Convenience Store
Produce Plus Market & Deli,,15202.0,Convenience Store
Quick Stop,,15201.0,Convenience Store
Quick Stop Sunoco,,15210.0,Convenience Store
Quik Serv,,15202.0,Convenience Store
R & M Variety Store,,15122.0,Convenience Store
Red Paprika Foods,,15132.0,Convenience Store
Reyes Tienda Mexicana,,15213.0,Convenience Store
Rite Aid Pharmacies #10910,,15122.0,Convenience Store
Rocks Express,,15136.0,Convenience Store
Rockwell Market/Rockwell Hall @ Duquesne Univ.,,15282.0,Convenience Store
Rossi's Market,,15108.0,Convenience Store
Ruthfred Market,,15102.0,Convenience Store
S & S Express Food Mart,,15215.0,Convenience Store
Salem's Market,,15201.0,Convenience Store
Samba Mini Mart,,15219.0,Convenience Store
Sam's Market,,15219.0,Convenience Store
Seoul Mart,,15213.0,Convenience Store
SG Management Services,,15108.0,Convenience Store
Shadyside Market,,15232.0,Convenience Store
Sheetz #115,,15237.0,Convenience Store
Sheetz #130,,15030.0,Convenience Store
Sheetz #189,,15024.0,Convenience Store
Sheetz #190,,15239.0,Convenience Store
Sheetz #253,,15236.0,Convenience Store
Sheetz #277,,15090.0,Convenience Store
Sheetz #327,,15146.0,Convenience Store
Sheetz #353,,15205.0,Convenience Store
Sheetz #360,,15146.0,Convenience Store
Sheetz #376,,15236.0,Convenience Store
Sheetz #379,,15108.0,Convenience Store
Sheetz #459,,15147.0,Convenience Store
Sheetz #468,,15235.0,Convenience Store
Sheetz #476,,15237.0,Convenience Store
Sheetz #515,,15102.0,Convenience Store
Shenderovich In & Out Market,,15238.0,Convenience Store
Shenot's Farm Market,,15090.0,Convenience Store
Shop N Go One,,15207.0,Convenience Store
Shuman's Market,,15236.0,Convenience Store
Sil's,,15071.0,Convenience Store
Smithfield News,,15222.0,Convenience Store
Soergel's Orchards,,15090.0,Convenience Store
Sophia's,,15132.0,Convenience Store
Soup Du Jour,,15044.0,Convenience Store
South Fayette Sunoco,,15017.0,Convenience Store
South Park Convenience Store,,15236.0,Convenience Store
Speedway #2900,,15146.0,Convenience Store
Speedway #2901,,15146.0,Convenience Store
Speedway #2902,,15217.0,Convenience Store
Speedway #2905,,15139.0,Convenience Store
Speedway #2906,,15137.0,Convenience Store
Speedway #2910,,15225.0,Convenience Store
Speedway #2911,,15131.0,Convenience Store
Speedway #6503,,15132.0,Convenience Store
Speedy Food Mart,,15108.0,Convenience Store
St Clair Mini Mart,,15241.0,Convenience Store
Stetor's Red Hot Dollar,,15045.0,Convenience Store
Stop - N - Go,,15221.0,Convenience Store
Stop N Shop,,15221.0,Convenience Store
Sub Stop-Marathon,,15227.0,Convenience Store
Sultan Bey,,15213.0,Convenience Store
Sunoco,,15215.0,Convenience Store
Sunoco #7144,,15213.0,Convenience Store
Sunoco #7278,,15228.0,Convenience Store
Sunoco #7279,,15234.0,Convenience Store
Sunoco #7353,,15209.0,Convenience Store
Sunoco #7359,,15044.0,Convenience Store
Sunoco #7374,,15236.0,Convenience Store
Sunoco #7375,,15212.0,Convenience Store
Sunoco #7414,,15202.0,Convenience Store
Sunoco #7416,,15223.0,Convenience Store
Sunoco #7501,,15112.0,Convenience Store
Sunoco #7508,,15017.0,Convenience Store
Sunoco / Banksville,,15216.0,Convenience Store
Sunoco / Brookline,,15226.0,Convenience Store
Sunoco A Plus #7517,,15227.0,Convenience Store
Sunoco A Plus Mini Market,,15216.0,Convenience Store
Sunoco A Plus Mini Market,,15221.0,Convenience Store
Sunoco A Plus Mini Market,,15236.0,Convenience Store
Sunoco A Plus Mini Market,,15206.0,Convenience Store
Sunoco A Plus Mini Market #7372,,15218.0,Convenience Store
Sunoco A Plus Mini Mart,,15210.0,Convenience Store
Sunoco A Plus Mini Mart,,15131.0,Convenience Store
Sunoco A Plus Mini Mart,,15213.0,Convenience Store
Sunoco A Plus Mini Mart #6968,,15235.0,Convenience Store
Sunoco A-Plus Mini Market #7485,,15224.0,Convenience Store
Sunoco Choice Tobacco & Food Mart,,15146.0,Convenience Store
Sunoco Mini Market,,15237.0,Convenience Store
Sunoco Mini Mart,,15108.0,Convenience Store
Sunoco Mini Mart,,15210.0,Convenience Store
Sunoco Mini Mart #0364070303,,15241.0,Convenience Store
Sunrise Sunoco A Plus,,15209.0,Convenience Store
Super Mart,,15136.0,Convenience Store
Super One Convience Store,,15218.0,Convenience Store
Super Stop,,15104.0,Convenience Store
Taste Buds Convenience Store,,15211.0,Convenience Store
The Elliott's Town Market,,15220.0,Convenience Store
TJ's Deli Mart #1,,15057.0,Convenience Store
Today's Market,,15139.0,Convenience Store
Tokyo Japanese Food Store,,15232.0,Convenience Store
Trail View,,15018.0,Convenience Store
Triangle Mart,,15210.0,Convenience Store
Uni-Mart,,15108.0,Convenience Store
Uni-Mart,,15210.0,Convenience Store
Uni-Mart,,15236.0,Convenience Store
Uni-Mart,,15108.0,Convenience Store
Uni-Mart,,15122.0,Convenience Store
Uni-Mart,,15212.0,Convenience Store
Uni-Mart,,15139.0,Convenience Store
Uni-Mart #94634,,15210.0,Convenience Store
Up Town Minimart,,15219.0,Convenience Store
Valero / Sitaram Oil Corporation,,15218.0,Convenience Store
Valero Gas / Bethel Park,,15102.0,Convenience Store
Valero Provost,,15227.0,Convenience Store
Verona Exxon,,15147.0,Convenience Store
Verona Sunoco,,15147.0,Convenience Store
Vitamin Gallery,,15223.0,Convenience Store
W B Convenience,,15106.0,Convenience Store
Wagner's Market,,15044.0,Convenience Store
Walgreens #09043,,15116.0,Convenience Store
Walgreens #09281,,15206.0,Convenience Store
Walgreens #10282,,15090.0,Convenience Store
Walgreens #10917,,15108.0,Convenience Store
Walgreens #9345,,15235.0,Convenience Store
Walgreens #9803,,15139.0,Convenience Store
Welmart,,15065.0,Convenience Store
West Liberty BP,,15226.0,Convenience Store
West View Shell,,15229.0,Convenience Store
West View Sunoco,,15229.0,Convenience Store
Wm Penn Hwy Sunoco,,15235.0,Convenience Store
WN Grocery,,15233.0,Convenience Store
Zoscak's Food Market,,15132.0,Convenience Store
Zozos Marathon,,15237.0,Convenience Store
GetGo #3137,,15056.0,Convenience Store
Aldi #92,,15236.0,Supermarket
Aldi,,15235.0,Supermarket
Aldi #56,,15221.0,Supermarket
Aldi #68,,15101.0,Supermarket
Aldi #72,,15226.0,Supermarket
Aldi #81,,15017.0,Supermarket
Aldi #89,,15132.0,Supermarket
Aldi #93,,15237.0,Supermarket
Aldi Store #97,,15120.0,Supermarket
Aldi #96,,15106.0,Supermarket
Shop 'n Save #1076 Mt. Washington,,15211.0,Supermarket
Giant Eagle #605 Elizabeth Township,,15037.0,Supermarket
Giant Eagle #652,,15212.0,Supermarket
Shop 'n Save #0212100,,15146.0,Supermarket
Costco #332,,15205.0,Supermarket
Costco #649,,15120.0,Supermarket
Save A Lot / North Versailles,,15137.0,Supermarket
Whitehall Asian Supermarket,,15227.0,Supermarket
Donatelli's Italian Food Center,,15224.0,Supermarket
Shop 'n Save,,15201.0,Supermarket
East End Food Co-Op,,15208.0,Supermarket
Kuhn's Market #7,,15108.0,Supermarket
Kuhn's Market,,15237.0,Supermarket
Kuhn's Market,,15127.0,Supermarket
Kuhn's Market,,15145.0,Supermarket
Family Food Center,,15210.0,Supermarket
Giant Eagle #6379,,15120.0,Supermarket
Giant Eagle #0004,,15102.0,Supermarket
Giant Eagle #0015,,15137.0,Supermarket
Giant Eagle #0052,,15237.0,Supermarket
Giant Eagle #0073,,15122.0,Supermarket
Giant Eagle #068,,15108.0,Supermarket
Giant Eagle #17,,15206.0,Supermarket
Giant Eagle #2,,15136.0,Supermarket
Giant Eagle #24,,15017.0,Supermarket
Giant Eagle #25,,15229.0,Supermarket
Giant Eagle #29,,15122.0,Supermarket
Giant Eagle #31,,15236.0,Supermarket
Giant Eagle #35,,15220.0,Supermarket
Giant Eagle #37,,15056.0,Supermarket
Giant Eagle #38,,15217.0,Supermarket
Giant Eagle #45,,15237.0,Supermarket
Giant Eagle #47 / Market District Robinson,,15205.0,Supermarket
Giant Eagle #60,,15146.0,Supermarket
Giant Eagle #61,,15203.0,Supermarket
Giant Eagle #63,,15217.0,Supermarket
Giant Eagle #64,,15132.0,Supermarket
Giant Eagle #65,,15212.0,Supermarket
Giant Eagle #67,,15237.0,Supermarket
Giant Eagle #74,,15220.0,Supermarket
Giant Eagle #76,,15146.0,Supermarket
Giant Eagle #77,,15221.0,Supermarket
Giant Eagle #78,,15235.0,Supermarket
Giant Eagle / Market District Pine #43,,15090.0,Supermarket
Giant Eagle / Market District Shadyside #40,,15232.0,Supermarket
Giant Eagle / Market District South Hills #14,,15102.0,Supermarket
Giant Eagle / Market District Waterworks #72,,15238.0,Supermarket
Giant Eagle Express #5103,,15238.0,Supermarket
Giant Eagle #18,,15116.0,Supermarket
Shop 'n Save / Gibsonia,,15044.0,Supermarket
GFS Marketplace,,15236.0,Supermarket
Gordon Food Service,,15146.0,Supermarket
Shop 'n Save Penn Hills,,15235.0,Supermarket
Shop 'n Save,,15239.0,Supermarket
Giant Eagle #697,,15235.0,Supermarket
Duquesne Save A Lot,,15110.0,Supermarket
Shop 'n Save,,15234.0,Supermarket
Food Shoppe,,15217.0,Supermarket
Giant Eagle,,15218.0,Supermarket
Shop 'n Save - Pines Plaza,,15237.0,Supermarket
Shop 'n Save / Glenshaw #212403,,15116.0,Supermarket
Shop 'n Save / Rochester,,15229.0,Supermarket
Shop 'n Save / Shaler,,15209.0,Supermarket
Shop 'n Save / Century Square,,15122.0,Supermarket
Shop 'n Save / Noblestown #2412,,15205.0,Supermarket
Shop 'n Save - Ross's Village,,15122.0,Supermarket
Kuhn's Market,,15212.0,Supermarket
Kuhn's Market,,15202.0,Supermarket
Kuhn's Market #4,,15216.0,Supermarket
Kuhn's Market,,15101.0,Supermarket
Shop 'n Save,,15102.0,Supermarket
Shop 'n Save - Wilkins Twp,,15235.0,Supermarket
Shop 'n Save #0212404 Imperial,,15071.0,Supermarket
Giant Eagle #646,,15205.0,Supermarket
Shop 'n Save - Hill District,,15219.0,Supermarket
Sam's Club #4952,,15084.0,Supermarket
Sam's Club #6575,,15275.0,Supermarket
Sam's Club #6677,,15146.0,Supermarket
Sam's Club #6678,,15237.0,Supermarket
Sam's Club #6679,,15122.0,Supermarket
Save A Lot,,15132.0,Supermarket
Giant Eagle Store #600,,15131.0,Supermarket
Giant Eagle #641,,15017.0,Supermarket
Wilkinsburg Save A Lot,,15221.0,Supermarket
Shop 'n Save / Brownsville Road,,15210.0,Supermarket
Shop 'n Save,,15132.0,Supermarket
Shop 'n Save / Heidelberg,,15106.0,Supermarket
Giant Eagle #1691,,15044.0,Supermarket
Shop 'n Save,,15122.0,Supermarket
Target #2757,,15206.0,Supermarket
Target #2787,,15241.0,Supermarket
Shop 'n Save / Russellton,,15076.0,Supermarket
Trader Joe's #624,,15237.0,Supermarket
Trader Joe's #638,,15206.0,Supermarket
Trader Joe's #630,,15228.0,Supermarket
Giant Eagle #695,,15147.0,Supermarket
Wal-Mart Super Center #2281,,15122.0,Supermarket
Wal-Mart Super Center #2300,,15275.0,Supermarket
Wal-Mart Super Center #2588,,15137.0,Supermarket
Wal-Mart Super Center #3738,,15065.0,Supermarket
Wal-Mart Super Center #3838,,15084.0,Supermarket
Whole Foods Market #53,,15206.0,Supermarket
Whole Foods Wexford #10377,,15090.0,Supermarket
Giant Eagle Market #616,,15227.0,Supermarket
Save A Lot Crafton,,15205.0,Supermarket
Shop 'n Save McKeesport,,15132.0,Supermarket
The Uncommon Market,,15241.0,Supermarket
Market Outlet,,15222.0,Supermarket
Karibu International Market LLC,,15227.0,Supermarket
South Hills IGA,,15236.0,Supermarket
Leonard Labriola's Italian Market,,15146.0,Supermarket
Lamperts Deli Express,,15132.0,Supermarket
Las Palmas,,15226.0,Supermarket
Leonard Labriola's Italian Store,,15086.0,Supermarket
Shursave,,15224.0,Supermarket
Groceria Italiano,,15224.0,Supermarket
Market on Broadway IGA / Las Palmas,,15216.0,Supermarket
Market on Forbes IGA,,15213.0,Supermarket
McGinnis Sisters Market,,15146.0,Supermarket
McGinnis Sisters Market,,15227.0,Supermarket
Murray Avenue Kosher,,15217.0,Supermarket
Oriental Market,,15237.0,Supermarket
Pakeeza,,15146.0,Supermarket
Robert Wholey Co,,15222.0,Supermarket
T-Bones,,15090.0,Supermarket
The Fresh Market,,15228.0,Supermarket
Two Louie's Market,,15222.0,Supermarket
WFH / Wing Fat Hong Oriental Food Market,,15222.0,Supermarket
Bombay Market,,15213.0,Supermarket
Brownsville Food & Drinks,,15210.0,Supermarket
Community Super Market,,15147.0,Supermarket
Coraopolis Cash Market,,15108.0,Supermarket
Gorkhali Store,,15210.0,Supermarket
Patsy's Market,,15147.0,Supermarket
Safrans Market,,15143.0,Supermarket
Subha Laxmi Grocery,,15227.0,Supermarket
Community Market,,15065.0,Supermarket
GFS Marketplace,,15205.0,Supermarket
Leonard Labriola Foods,,15147.0,Supermarket
Aldi #69,,15237.0,Supermarket
Aldi #77,,15090.0,Supermarket
Aldi #79,,15203.0,Supermarket
Aldi #80,,15213.0,Supermarket
Wal-Mart #2603,,15044.0,Supermarket
Wal-Mart #5040,,15106.0,Supermarket
Wal-Mart #5339,,15238.0,Supermarket
,,,
