Heading,Address,Zipcode,Category
Ice Skating Rink - 2nd Floor,North Park,15101,fitness
Ice Skating Rink - Rink,North Park,15101,fitness
North Park Pool,North Park,15101,fitness
Soccer Field,Round Hill Park,15037,ball field
Dek Hockey Rink,Settler's Cabin Park,15205,fitness
Wave Pool,Settler's Cabin Park,15205,fitness
Dog Park,Settler's Cabin Park,15205,dog park
Buffalo Inn,South Park,15129,entertainment
South Park Community House,South Park,15129,entertainment
Basketball Courts,South Park,15129,ball field
Dek Hockey Rink,South Park,15129,fitness
100 Acre Field,South Park,15129,ball field
Alaska Baseball Field,South Park,15129,ball field
Black Ash Baseball Field,South Park,15129,ball field
Edgebrook Field,South Park,15129,ball field
Fairgrounds Ball Field 2,South Park,15129,ball field
Fairgrounds Ball Field 3,South Park,15129,ball field
Texas Softball Field,South Park,15129,ball field
Fairgrounds Ball Field 1,South Park,15129,ball field
Flag Retirement Plaza,South Park,15129,entertainment
Gazebo,South Park,15129,outdoor
Horse Show Ring,South Park,15129,entertainment
Ice Skating Rink,South Park,15129,fitness
Wave Pool - Pool,South Park,15129,fitness
All Purpose Field,White Oak Park,15131,ball field
Lakeview Baseball Field,North Park,15101,ball field
Senior Citizens Softball Complex 1,North Park,15101,fitness
Senior Citizens Softball Complex 2,North Park,15101,fitness
BMX Track,South Park,15129,fitness
Ski Slopes,Boyce Park,15239,fitness
Archery Range,Boyce Park,15239,fitness
Remote Control Airplane Field,Boyce Park,15239,ball field
Off-Leash Dog Park,South Park,15129,dog park
Upper Horse Ring,Hartwood Acres Park,15238,entertainment
Lower Horse Ring,Hartwood Acres Park,15238,entertainment
Practice Horse Ring,Hartwood Acres Park,15238,entertainment
Remote Control Airplane Field,South Park,15129,ball field
Practice Horse Show Ring,North Park,15101,entertainment
Skate Park,Boyce Park,15239,fitness
Horse Show Area,Hartwood Acres Park,15238,entertainment
Off-Leash Dog Park,Hartwood Acres Park,15238,dog park
Off-Leash Dog Park,White Oak Park,15131,dog park
Off-Leash Dog Park,North Park,15101,dog park
Chestnut Volleyball Court,White Oak Park,15131,ball field
Boating Area,North Park,15101,fitness
Water Spray Park,Deer Lakes Park,15084,outdoor
Bocce Ball Court,White Oak Park,15131,ball field
Cedar VolleyBall Court,White Oak Park,15131,ball field
Magnoila Volleyball Court,White Oak Park,15131,ball field
Tulip Tree Volleyball Court,White Oak Park,15131,ball field
Sumac Horseshoe Court,White Oak Park,15131,ball field
Tulip Tree Horseshoe Courts,White Oak Park,15131,ball field
Blue Spruce Horseshoe Court,White Oak Park,15131,ball field
Beech Horseshoe Court,White Oak Park,15131,ball field
Off-Leash Dog Park,North Park,15101,dog park
Carp Field,Deer Lakes Park,15084,ball field
Scout Campsite,Deer Lakes Park,15084,outdoor
Scout Campsite,Harrison Hills Park,15065,outdoor
Wave Pool,South Park,15129,fitness
Tennis Courts,South Park,15129,ball field
Tennis Courts,Settler's Cabin Park,15205,ball field
Dogwood Volleyball Court,White Oak Park,15131,ball field
Sumac Volleyball Court,White Oak Park,15131,ball field
Playground,Harrison Hills Park,15065,Playground
Playground,Harrison Hills Park,15065,Playground
Playground,Harrison Hills Park,15065,Playground
Playground,Deer Lakes Park,15084,Playground
Playground,Deer Lakes Park,15084,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,North Park,15101,Playground
Playground,Settler's Cabin Park,15205,Playground
Playground,Settler's Cabin Park,15205,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,Round Hill Park,15037,Playground
Playground,White Oak Park,15131,Playground
Playground,White Oak Park,15131,Playground
O'Block Playground,Boyce Park,15239,Playground
Playground,Boyce Park,15239,Playground
Soccer Field 3,Harrison Hills Park,15065,ball field
Soccer Field 1,Harrison Hills Park,15065,ball field
Tennis Courts,North Park,15101,ball field
Platform Tennis Courts,North Park,15101,ball field
Fishing Platform,Deer Lakes Park,15084,fitness
Fishing Platform,Deer Lakes Park,15084,fitness
Workout Station,Deer Lakes Park,15084,fitness
Fishing Platform,Deer Lakes Park,15084,fitness
Workout Station,Deer Lakes Park,15084,fitness
Workout Station,Deer Lakes Park,15084,fitness
Skate Park,South Park,15129,outdoor
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Bocce Ball Courts,South Park,15129,ball field
Stevens Horseshoe Courts,South Park,15129,ball field
Children閳ユ獨 Playground,South Park,15129,Playground
Off-Leash Dog Park,South Park,15129,dog park
Pickleball Courts,South Park,15129,ball field
Black Ash Volleyball Courts,South Park,15129,ball field
Splash Park,Round Hill Park,15037,outdoor
Chestnut Horseshoe Courts,White Oak Park,15131,ball field
Fishing Platform,North Park,15101,fitness
Fishing Platform,Deer Lakes Park,15084,fitness
Soccer Field 1,Boyce Park,15239,ball field
Soccer Field 2,Boyce Park,15239,ball field
Archery Range,North Park,15101,fitness
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,South Park,15129,Playground
Playground,North Park,15101,Playground
Silver Beaver Baseball Field,Boyce Park,15239,ball field
Playground,South Park,15129,Playground
Pickleball Courts,North Park,15101,ball field
Basketball Courts,Settler's Cabin Park,15205,ball field
Horse Show Ring,South Park,15129,entertainment
Dog Park,Harrison Hills Park,15065,dog park
Frick Park,,15217,outdoor
Highland Park,,15206,outdoor
Schenley park,,15213,outdoor
Emerald View Park,,15211,outdoor
Riverview Park,,15214,outdoor
Allegheny commons Park,,15212,outdoor
Arsenal Park,,15201,outdoor
August Wilson Park,,15219,outdoor
Market Square,,15222,outdoor
McKinley Park,,15210,outdoor
Mellon Park,,15232,outdoor
Mellon Square,,15222,outdoor
Sheradon Park,,15204,outdoor
South Side Pakr,,15210,outdoor
West End Overlook,,15205,outdoor
Allegheny Landing Park,,15212,outdoor
North Shore Riverfront Park,,15212,outdoor
Point State Park,,15222,outdoor
South Shore Riverfront Park,,15203,outdoor
Three Rivers Heritage Trail,,15203,outdoor
